Handle,Social Network,Profile Name,Avatar URL,Followers,Posts,Value Per Fan,Total Value € Jan 2026,Category,URL
shubmangill,instagram,Shubman Gill,https://cdn.horizm.com/clubs/2969_6491f7a46493f,18243779,10,0.0672,1225913,Athlete,https://www.instagram.com/shubmangill/
pele,instagram,Pelé,https://cdn.horizm.com/clubs/9bd199ab6a666dfb5800ee155dbfc998c10ab9ca.jpg,18151747,10,0.0198,359912,Athlete,https://www.instagram.com/pele
serenawilliams,instagram,Serena Williams,https://cdn.horizm.com/clubs/402_6491b0b9bc965,18150907,12,0.0169,307615,Athlete,https://www.instagram.com/serenawilliams/
harrykane,instagram,Harry Kane,https://cdn.horizm.com/clubs/1766_6491d5eab8a52,18080402,13,0.0165,298610,Athlete,https://www.instagram.com/harrykane/
maxverstappen1,instagram,Max Verstappen,https://cdn.horizm.com/clubs/1293_6491cbb980c60,17993081,4,0.0229,412602,Athlete,https://www.instagram.com/maxverstappen1
raphinha,instagram,Raphinha,https://cdn.horizm.com/clubs/1761_64a27663cce8a,17847153,7,0.0187,334357,Athlete,https://www.instagram.com/raphinha/
zo,instagram,Lonzo Ball,https://cdn.horizm.com/clubs/3447_6492047a24075,17720872,4,0.0051,89879,Athlete,https://www.instagram.com/zo/
falcao,instagram,Radamel Falcão Garcia,https://cdn.horizm.com/clubs/2820_6491f361e1dac,17656523,4,0.0032,56766,Athlete,https://www.instagram.com/falcao/
thibautcourtois,instagram,Thibaut Courtois,https://cdn.horizm.com/clubs/1577_64b62798cb68d,17626235,14,0.0377,664570,Athlete,https://www.instagram.com/thibautcourtois/
mterstegen1,instagram,Marc-André ter Stegen,https://cdn.horizm.com/clubs/2401_6491e83305673,17433533,10,0.0251,437988,Athlete,https://www.instagram.com/mterstegen1/
harbhajan3,instagram,Harbhajan Singh,https://cdn.horizm.com/clubs/6878_6565aab7c1f20,17397521,19,0.0093,161605,Athlete,https://www.instagram.com/harbhajan3/
virgilvandijk,instagram,Virgil Van Dijk,https://cdn.horizm.com/clubs/1781_6491d6563edb0,17253488,7,0.0196,338343,Athlete,https://www.instagram.com/virgilvandijk/
jordialbaoficial,instagram,Jordi Alba,https://cdn.horizm.com/clubs/2335_6491e68e237a3,17115318,2,0.0005,8038,Athlete,https://www.instagram.com/jordialbaoficial
obj,instagram,Odell Beckam Jnr,https://cdn.horizm.com/clubs/3770_64920c66cbf6a,17043088,1,0.0017,29671,Athlete,https://www.instagram.com/obj/
rondarousey,instagram,Ronda Rousey,https://cdn.horizm.com/clubs/1801_6491d6e953dda,16893924,3,0.0025,42432,Athlete,https://www.instagram.com/rondarousey/
alexis_officia1,instagram,Alexis Sanchez,https://cdn.horizm.com/clubs/2826_6491f38c8f917,16858647,4,0.0054,91700,Athlete,https://www.instagram.com/alexis_officia1/
djokernole,instagram,Novak Djokovic,https://cdn.horizm.com/clubs/1300_6491cbf6d9098,16394651,13,0.0407,666654,Athlete,https://www.instagram.com/djokernole
sadiomaneofficiel,instagram,Sadio Mane,https://cdn.horizm.com/clubs/5f19a67ed01adfef7e4841c20c5b990ba5947a26.jpg,16374057,2,0.0026,42237,Athlete,https://www.instagram.com/sadiomaneofficiel/
ab,instagram,Antonio Brown,https://cdn.horizm.com/clubs/3773_64920c8081092,16104227,2,0.0100,160446,Athlete,https://www.instagram.com/ab/
waynerooney,instagram,Wayne Rooney,https://cdn.horizm.com/clubs/1585_6491d3efa923b,16080976,9,0.0154,247790,Athlete,https://www.instagram.com/waynerooney/
rishabpant,instagram,Rishabh Pant,https://cdn.horizm.com/clubs/2968_6491f79bd926b,16076772,6,0.0196,315371,Athlete,https://www.instagram.com/rishabpant/
giannis_an34,instagram,Giannis Antetokoumpo,https://cdn.horizm.com/clubs/3114_6491fb5cdf29d,16039013,1,0.0045,72377,Athlete,https://www.instagram.com/giannis_an34/
keyalves,instagram,Key Alves,https://cdn.horizm.com/clubs/3373_6492029e22fc8,15892725,22,0.0086,136719,Athlete,https://www.instagram.com/keyalves/
alishalehmann7,instagram,Alisha Lehmann,https://cdn.horizm.com/clubs/4181_649bd68d81c94,15883018,13,0.0373,592752,Athlete,https://www.instagram.com/alishalehmann7/
marcoasensio10,instagram,Marco Asensio,https://cdn.horizm.com/clubs/2223_6491e39be9078,15722734,5,0.0092,145106,Athlete,https://www.instagram.com/marcoasensio10/
mdshami.11,instagram,Mohammad Shami,https://cdn.horizm.com/clubs/1571_6491d38add71c,15663571,1,0.0003,4382,Athlete,https://www.instagram.com/mdshami.11/
d_degeaofficial,instagram,David De Gea,https://cdn.horizm.com/clubs/2266_6491e4a9cf1c7,15479037,4,0.0021,33175,Athlete,https://www.instagram.com/d_degeaofficial/
tombrady,instagram,Tom Brady,https://cdn.horizm.com/clubs/409_6491b11395520,15420697,4,0.0165,255131,Athlete,https://www.instagram.com/tombrady/
camavinga,instagram,Eduardo Camavinga,https://cdn.horizm.com/clubs/1583_6491d3debb142,15198445,3,0.0088,133329,Athlete,https://www.instagram.com/camavinga/
smriti_mandhana,instagram,Smriti Mandhana,https://cdn.horizm.com/clubs/2414_6491e87f446dc,15091764,13,0.1704,2572381,Athlete,https://www.instagram.com/smriti_mandhana/
marcelotwelve,tiktok,Marcelo,https://cdn.horizm.com/clubs/404_6491b0d24aa35,15024646,5,0.0007,11138,Athlete,https://www.tiktok.com/@marcelotwelve
marcinho11,instagram,Marco Reus,https://cdn.horizm.com/clubs/4805_64baad767ee4d,14845259,2,0.0011,16462,Athlete,https://www.instagram.com/marcinho11/
esmuellert,instagram,Thomas Müller,https://cdn.horizm.com/clubs/4791_64baad117729c,14773608,23,0.0307,453387,Athlete,https://www.instagram.com/esmuellert/
hm_son7,instagram,Son Heung-Min,https://cdn.horizm.com/clubs/1876_6491da206023a,14606239,1,0.0093,136106,Athlete,https://www.instagram.com/hm_son7/
frenkiedejong,instagram,Frenkie De Jong,https://cdn.horizm.com/clubs/1779_6491d64e95376,14449175,4,0.0119,171454,Athlete,https://www.instagram.com/frenkiedejong/
manuelneuer,instagram,Manuel Neuer,https://cdn.horizm.com/clubs/1777_6491d63c99933,14425316,7,0.0079,113769,Athlete,https://www.instagram.com/manuelneuer/
usainbolt,instagram,Usain Bolt,https://cdn.horizm.com/clubs/7868_6638a6b2cfc9d,14104227,15,0.0043,60691,Athlete,https://www.instagram.com/usainbolt/
emi_martinez26,instagram,Damian Emiliano Martinez,https://cdn.horizm.com/clubs/2302_6491e5986e65d,14048424,5,0.0045,63348,Athlete,https://www.instagram.com/emi_martinez26/
mauroicardi,instagram,Mauro Icardi,https://cdn.horizm.com/clubs/2810_6491f31e841d1,14020816,5,0.0265,371023,Athlete,https://www.instagram.com/mauroicardi
shaq,tiktok,Shaquille O'Neal,https://cdn.horizm.com/clubs/6099_650c0593a0fc6,13954192,3,0.0139,193723,Athlete,https://www.tiktok.com/@shaq
rodridepaul,instagram,Rodrigo de Paul,https://cdn.horizm.com/clubs/2807_6491f30483535,13950080,2,0.0075,105176,Athlete,https://www.instagram.com/rodridepaul/
cuadrado,instagram,Juan Cuadrado,https://cdn.horizm.com/clubs/2821_6491f36a67470,13596679,1,0.0003,3858,Athlete,https://www.instagram.com/cuadrado/
auba,instagram,Pierre-Emerick Aubameyang,https://cdn.horizm.com/clubs/2263_6491e4999701c,13555792,1,0.0028,37889,Athlete,https://www.instagram.com/auba/
mohammedsirajofficial,instagram,Mohammed Siraj,https://cdn.horizm.com/clubs/2961_6491f7675975a,13516591,1,0.0014,19146,Athlete,https://www.instagram.com/mohammedsirajofficial/
patrice.evra,instagram,Patrice Evra,https://cdn.horizm.com/clubs/3496_649205ff25bfd,13499281,12,0.0245,330263,Athlete,https://www.instagram.com/patrice.evra
gabrielmedina,instagram,Gabriel Medina,https://cdn.horizm.com/clubs/3366_64920263852ea,13301648,8,0.0052,68625,Athlete,https://www.instagram.com/gabrielmedina/
toniruediger,instagram,Antonio Rudiger,https://cdn.horizm.com/clubs/2391_64b6288141ebf,13059151,2,0.0039,51000,Athlete,https://www.instagram.com/toniruediger/
mirzasaniar,instagram,Sania Mirza,https://cdn.horizm.com/clubs/4134_649bd518a7664,12903748,12,0.0028,35942,Athlete,https://www.instagram.com/mirzasaniar/
joaofelix79,instagram,João Félix,https://cdn.horizm.com/clubs/1788_6491d68a0f94d,12903126,4,0.0051,66214,Athlete,https://www.instagram.com/joaofelix79/
brahim,instagram,Brahim Díaz,https://cdn.horizm.com/clubs/6371_653125e347550,12641057,4,0.1390,1757734,Athlete,https://www.instagram.com/brahim/
riyadmahrez26.7,instagram,Riyad Mahrez,https://cdn.horizm.com/clubs/2261_6491e491d87cd,12550328,1,0.0046,58082,Athlete,https://www.instagram.com/riyadmahrez26.7/
toni.kr8s,tiktok,Toni Kroos,https://cdn.horizm.com/clubs/2388_6491e7de4f946,12494943,2,0.0017,20761,Athlete,https://www.tiktok.com/@toni.kr8s
philfoden,instagram,Phil Foden,https://cdn.horizm.com/clubs/2256_6491e479432f5,12490303,5,0.0092,114721,Athlete,https://www.instagram.com/philfoden/
carlossainz55,instagram,Carlos Sainz,https://cdn.horizm.com/clubs/1289_6491cb9738160,12443261,3,0.0190,236222,Athlete,https://www.instagram.com/carlossainz55
enzojfernandez,instagram,Enzo Fernandez,https://cdn.horizm.com/clubs/1885_64a2768343b54,12306121,6,0.0238,293146,Athlete,https://www.instagram.com/enzojfernandez/
jharden13,instagram,James Harden,https://cdn.horizm.com/clubs/3112_6491fb4c0b8bc,12136844,13,0.0144,174335,Athlete,https://www.instagram.com/jharden13
simonebiles,instagram,Simone Biles,https://cdn.horizm.com/clubs/4137_649bd5329006b,12062002,6,0.0208,250902,Athlete,https://www.instagram.com/simonebiles/
lucaspaqueta,instagram,Lucas Paqueta,https://cdn.horizm.com/clubs/2322_6491e62013c73,12001922,9,0.1030,1236012,Athlete,https://www.instagram.com/lucaspaqueta
leoparedes20,instagram,Paredes,https://cdn.horizm.com/clubs/2809_6491f315f2e3b,11939171,5,0.0070,83630,Athlete,https://www.instagram.com/leoparedes20/
thegreatkhali,instagram,The Great Khali,https://cdn.horizm.com/clubs/6774_6565a805924f9,11912666,52,0.0556,662519,Athlete,https://www.instagram.com/thegreatkhali
imsanjusamson,instagram,Sanju Samson,https://cdn.horizm.com/clubs/2985_6491f82618c85,11910505,2,0.0145,172320,Athlete,https://www.instagram.com/imsanjusamson/
